학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
대구선명학교,동구,126,1.344365903,0,0.962626,0.693446,0.3499,0.4321,,0,1.27954884,1.27954884,0.8984313751
대구종로초등학교,중구,201,1.343682141,5.970149,0.95741,1,0.3322,0.2302,스포츠 서비스업,31.34328358,1.325668845,1.325668845,0.9337603342
대구삼육초등학교,수성구,199,1.335004153,0,0.979671,1,0.3313,0.4693,기타 개인 서비스업 복합코드,0,1.36685076,1.36685076,0.9812602796
대구장성초등학교,달서구,191,1.333337516,2.094241,0.966745,1,0.3515,0.4321,,-4.684975767,1.369760363,1.369760363,0.9777075393
대구대성초등학교,서구,151,1.330757608,6.622517,0.893366,1,0.3622,0.4321,,-1.986754967,1.392064887,1.392064887,0.9789190212
구남중학교,달서구,98,1.330675444,0,0.973726,0.30887,0.3515,0.4321,,0.4379562044,1.155060784,1.155060784,0.8144720826
달구벌고등학교,동구,97,1.327870586,0,0.962626,0.41083,0.3499,0.4321,,0,1.181363314,1.181363314,0.8302067137
대구교동초등학교,북구,182,1.326821881,7.692308,0.944077,1,0.3493,0.4321,,-3.338391502,1.370572874,1.370572874,0.9747008781
서대구초등학교,서구,149,1.325081841,9.395973,0.884122,1,0.3622,0.4321,,-2.013422819,1.389484027,1.389484027,0.9765894424
한울안중학교,달성군,80,1.314560895,0,0.955971,0.153171,0.3487,0.4321,,0,1.123737917,1.123737917,0.791508714
대구논공초등학교,달성군,194,1.305081119,4.123711,0.942226,1,0.3487,0.4321,,-3.608247423,1.348737704,1.348737704,0.9647612722
대구태전초등학교,북구,207,1.293987063,4.830918,0.953615,1,0.3493,0.4321,,-4.830917874,1.333559485,1.333559485,0.9597057166
남대구초등학교,남구,201,1.291536147,9.950249,0.908739,1,0.3552,0.5969,보건업 복합코드,-4.975124378,1.340906671,1.340906671,0.9836672595
대구대덕초등학교,남구,212,1.291422902,3.773585,0.929328,1,0.3552,0.5969,보건업 복합코드,-2.830188679,1.334222145,1.334222145,0.9831018067
대구파호초등학교,달서구,216,1.290420923,2.314815,0.96601,1,0.3515,0.4321,,0,1.325902845,1.325902845,0.9582934045
대구내서초등학교,서구,177,1.28853427,6.779661,0.892843,1,0.3622,0.4321,,-0.5649717514,1.34807979,1.34807979,0.9594108106
대구이룸고등학교,북구,168,1.28551413,0,0.969718,0.693446,0.3493,0.4321,,0,1.221950736,1.221950736,0.8737166072
